| Run on Wed Nov 19 15:25:42 2025
|
|Input file:
|--------------------------------------------------------------
|Input file for running PB and GB
|&general
|   endframe=1000, verbose=1,
|#  entropy=1,
|/
|&gb
|  igb=2, saltcon=0.100
|/
|&pb
|  istrng=0.100, 
|/
|--------------------------------------------------------------
|MMPBSA.py Version=12.0
|Solvated complex topology file:  comp_solv.prmtop
|Complex topology file:           comp.prmtop
|Receptor topology file:          prot.prmtop
|Ligand topology file:            lig.prmtop
|Initial mdcrd(s):                prod.netcdf
|
|Receptor mask:                  ":1-763"
|Ligand mask:                    ":764"
|Ligand residue name is "LIG"
|
|Calculations performed using 1000 complex frames.
|Poisson Boltzmann calculations performed using internal PBSA solver in mmpbsa_py_energy
|
|All units are reported in kcal/mole.
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

WARNING: INCONSISTENCIES EXIST WITHIN INTERNAL POTENTIAL
TERMS. THE VALIDITY OF THESE RESULTS ARE HIGHLY QUESTIONABLE
Complex:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                      2373.7404               40.8217              1.2909
ANGLE                     6357.1528               62.2708              1.9692
DIHED                     8155.5677               38.1256              1.2056
VDWAALS                  -5970.8584               59.8831              1.8937
EEL                     -52725.1349              291.0226              9.2029
1-4 VDW                   2840.3324               22.5164              0.7120
1-4 EEL                  26879.7433               84.2930              2.6656
EGB                      -9875.1817              258.6269              8.1785
ESURF                      314.7807                7.8974              0.2497

G gas                   -12089.4568              300.6591              9.5077
G solv                   -9560.4011              253.5350              8.0175

TOTAL                   -21649.8579               93.8744              2.9686


Receptor:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                      2358.5420               40.6277              1.2848
ANGLE                     6327.4437               62.0957              1.9636
DIHED                     8116.4692               38.0745              1.2040
VDWAALS                  -5910.5062               59.7590              1.8897
EEL                     -52704.6443              290.4346              9.1843
1-4 VDW                   2818.9286               22.4008              0.7084
1-4 EEL                  27007.3187               84.9090              2.6851
EGB                      -9872.4182              258.5494              8.1760
ESURF                      316.5737                7.8633              0.2487

